id,title,description,current_category
1574,累计降价4.00元,【商品标题】累计降价4.00元 【价格】¥195.00 【使用时长】约 15 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,其他数码
1573,AOC 24寸显示器 两条线 左右屏有色差。当监控 看电视 都没影响。只支持自提。不邮寄。,【商品标题】AOC 24寸显示器 两条线 左右屏有色差。当监控 看电视 都没影响。只支持自提。不邮寄。 【价格】¥50.00 【使用时长】约 18 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,游戏设备
1572,显示器2k 180hz 没有任何问题 未使用的27寸 包邮， 拍下默认17寸二手#硬核电脑配件 #电脑显示器,【商品标题】显示器2k 180hz 没有任何问题 未使用的27寸 包邮， 拍下默认17寸二手#硬核电脑配件 #电脑显示器 【价格】¥195.00 【使用时长】约 17 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,游戏设备
1571,戴尔 19寸 LED显示器 成色不错 接口vga 分辨率13 66×768 监控一流 经济实惠 65元是上门自提的价格 不是发货的价格 发货要运费+打包箱 配送电源线vga线 质保半年 发货要85元的请看清楚 描述 明码标价,【商品标题】戴尔 19寸 LED显示器 成色不错 接口vga 分辨率13 66×768 监控一流 经济实惠 65元是上门自提的价格 不是发货的价格 发货要运费+打包箱 配送电源线vga线 质保半年 发货要85元的请看清楚 描述 明码标价 【价格】¥65.00 【使用时长】约 16 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,游戏设备
1570,全新24寸100hz 电脑显示器27寸144hz显示器ips 面板无边框显示器 颜色: 白色和黑色 外观: 直屏和微曲面屏 分辨率: 1K 1920*1080P 刷新率: 75hz和100hz 接口: hdmi接口和vga双接口 配件: 默认发hdmi线（需要换vga线联系我）和支架，电源线...,【商品标题】全新24寸100hz 电脑显示器27寸144hz显示器ips 面板无边框显示器 颜色: 白色和黑色 外观: 直屏和微曲面屏 分辨率: 1K 1920*1080P 刷新率: 75hz和100hz 接口: hdmi接口和vga双接口 配件: 默认发hdmi线（需要换vga线联系我）和支架，电源线... 【价格】¥136.00 【使用时长】约 17 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,游戏设备
1569,个人闲置 华硕天选3Pro换下来的屏 16.1-18英寸 点不亮 便宜出屏幕成色还可以 没有明显划痕适合需要换屏的朋友同城自提 外地可邮寄价格可聊 细节私聊,【商品标题】个人闲置 华硕天选3Pro换下来的屏 16.1-18英寸 点不亮 便宜出屏幕成色还可以 没有明显划痕适合需要换屏的朋友同城自提 外地可邮寄价格可聊 细节私聊 【价格】¥15.00 【使用时长】约 10 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,其他数码
1568,电脑显示器，优派VG2450，23.8寸，黑色，功能正常，能 用。用了几年，屏幕有使用痕迹，平时办公用的，没修过。支持自提。,【商品标题】电脑显示器，优派VG2450，23.8寸，黑色，功能正常，能 用。用了几年，屏幕有使用痕迹，平时办公用的，没修过。支持自提。 【价格】¥100.00 【使用时长】约 13 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,游戏设备
1567,个人闲置，航世蓝牙键盘HB098S，功能正常无拆修，购入后极 少使用，一直吃灰，只有轻微使用痕迹，现25元转让，不议价，非偏远地区包邮。 议价，非偏远地区包邮。 友情提示：二手商品一经售出不退不换，介意勿拍。,【商品标题】个人闲置，航世蓝牙键盘HB098S，功能正常无拆修，购入后极 少使用，一直吃灰，只有轻微使用痕迹，现25元转让，不议价，非偏远地区包邮。 议价，非偏远地区包邮。 友情提示：二手商品一经售出不退不换，介意勿拍。 【价格】¥25.00 【使用时长】约 9 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,其他数码
1566,机械键盘，随机发货。包括有艾石头，雷柏，联想，宏碁，RK，惠 普，磁动力，斯巴达，iKBC，罗技，机械式，BOW，赤剑，光魔等等各种品牌与型号。一只也包邮，来吧，开盲盒的感觉。有批量购买需求的请联系我，根据你需要的数量可以商谈， 成色各不相同，经过测试基本都可以触发，可能会有个别按键可能有触发的问题，...,【商品标题】机械键盘，随机发货。包括有艾石头，雷柏，联想，宏碁，RK，惠 普，磁动力，斯巴达，iKBC，罗技，机械式，BOW，赤剑，光魔等等各种品牌与型号。一只也包邮，来吧，开盲盒的感觉。有批量购买需求的请联系我，根据你需要的数量可以商谈， 成色各不相同，经过测试基本都可以触发，可能会有个别按键可能有触发的问题，... 【价格】¥19.00 【使用时长】约 4 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,其他数码
1565,罗技K845白色背光机械键盘 大量现货 5种动态光效：呼吸、贪吃蛇、反应、随机、静态模式，指尖舞动间点亮灵感，告别“盲打”焦虑。 各种轴体的区别如下 - 青轴：清脆段落感，敲击声清脆，游戏节奏感强，适合追求听觉反馈的玩家。 - 红轴：线性直上...,【商品标题】罗技K845白色背光机械键盘 大量现货 5种动态光效：呼吸、贪吃蛇、反应、随机、静态模式，指尖舞动间点亮灵感，告别“盲打”焦虑。 各种轴体的区别如下 - 青轴：清脆段落感，敲击声清脆，游戏节奏感强，适合追求听觉反馈的玩家。 - 红轴：线性直上... 【价格】¥80.00 【使用时长】约 13 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,游戏设备
1564,达尔优ek815 87键机械键盘，适合办公游戏的机械键盘！！ ！ 工厂直发库存，成色很新，几乎全新，功能完好无维修，下单后会拍实拍图和检测，检测没问题才会发货。 【颜色】蓝白配色，绿白配色，黑色配色 【轴体】红轴，茶轴，黑轴，青轴可选 【功能】全键无冲，USB接口即插即用 【快递】全国包邮，偏远地区补...,【商品标题】达尔优ek815 87键机械键盘，适合办公游戏的机械键盘！！ ！ 工厂直发库存，成色很新，几乎全新，功能完好无维修，下单后会拍实拍图和检测，检测没问题才会发货。 【颜色】蓝白配色，绿白配色，黑色配色 【轴体】红轴，茶轴，黑轴，青轴可选 【功能】全键无冲，USB接口即插即用 【快递】全国包邮，偏远地区补... 【价格】¥55.00 【使用时长】约 15 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,游戏设备
1563,青轴机械键盘套装 基本全新 清仓处理 赠品：全新键帽一套，拔键器，拔轴器，键盘刷，轴体5-8个，爽快拍下额外赠送电竞鼠标，鼠标垫 售后：7天无理由退换，30天质量问题我们承担来回运费包换（本店已为大家购买了运费险） 键盘情况：拔插轴体，灯光全亮，功能全部正常，7-9种左右灯...,【商品标题】青轴机械键盘套装 基本全新 清仓处理 赠品：全新键帽一套，拔键器，拔轴器，键盘刷，轴体5-8个，爽快拍下额外赠送电竞鼠标，鼠标垫 售后：7天无理由退换，30天质量问题我们承担来回运费包换（本店已为大家购买了运费险） 键盘情况：拔插轴体，灯光全亮，功能全部正常，7-9种左右灯... 【价格】¥34.00 【使用时长】约 14 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,游戏设备
1562,vivo Pad Air 智能键盘全新，图片都是实拍。新月灰 原装正品。功能完好，按键手感舒适，磁吸吸附牢固。 加个包装盒至少可多卖十几块钱，不过说实话包装盒也没什么用，几十块钱的东西用个二三年直接都不要了。十几块钱吃个奶茶不香吗？这个成色就不议价了，议价的绕道走 需要直接拍，非质量问题不退不换。 ...,【商品标题】vivo Pad Air 智能键盘全新，图片都是实拍。新月灰 原装正品。功能完好，按键手感舒适，磁吸吸附牢固。 加个包装盒至少可多卖十几块钱，不过说实话包装盒也没什么用，几十块钱的东西用个二三年直接都不要了。十几块钱吃个奶茶不香吗？这个成色就不议价了，议价的绕道走 需要直接拍，非质量问题不退不换。 ... 【价格】¥76.00 【使用时长】约 7 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,其他数码
1561,双飞燕F一100N，钛镀召唤师k650，磁动力，腹灵光魔等等 真机械Lk游戏光轴机械键盘，多款随机发货。不接受指定。介意者勿扰勿拍。 原价358元。链接在，货在，拍下当天发货。 usB接口，插拔轴。 电脑办公键盘，游戏键盘。光轴电竞游戏键盘 全键触发。手感好。声音清脆，辟哩叭啦。无脚撑支架 无任何问...,【商品标题】双飞燕F一100N，钛镀召唤师k650，磁动力，腹灵光魔等等 真机械Lk游戏光轴机械键盘，多款随机发货。不接受指定。介意者勿扰勿拍。 原价358元。链接在，货在，拍下当天发货。 usB接口，插拔轴。 电脑办公键盘，游戏键盘。光轴电竞游戏键盘 全键触发。手感好。声音清脆，辟哩叭啦。无脚撑支架 无任何问... 【价格】¥30.00 【使用时长】约 15 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,游戏设备
1560,成色不错的达尔优CK533，光轴机械键盘，手感丝滑，经久耐用 ，声音好听，玩游戏强烈推荐！,【商品标题】成色不错的达尔优CK533，光轴机械键盘，手感丝滑，经久耐用 ，声音好听，玩游戏强烈推荐！ 【价格】¥39.00 【使用时长】约 12 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,游戏设备
1559,【全新未拆封】机械革命K210有线键盘静音办公游戏专用电竞双 拼色颜值99键发光 【炫彩灯效】 【26键无冲】 【软弹手感，按键静音】 【颜色】白灰，黑黄。下单前备注颜色，无备注默认黑黄。 【全新包邮】售出不退不换,【商品标题】【全新未拆封】机械革命K210有线键盘静音办公游戏专用电竞双 拼色颜值99键发光 【炫彩灯效】 【26键无冲】 【软弹手感，按键静音】 【颜色】白灰，黑黄。下单前备注颜色，无备注默认黑黄。 【全新包邮】售出不退不换 【价格】¥59.00 【使用时长】约 13 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,游戏设备
1558,全新联想Lenovo Writer机械键盘 104键 Cherry轴体 PBT键帽 德国原厂MX轴体 人体工学设计 适合办公游戏 保证正品 功能正常 全新未使用 带原装包装盒和说明书 包邮发货 不退不换,【商品标题】全新联想Lenovo Writer机械键盘 104键 Cherry轴体 PBT键帽 德国原厂MX轴体 人体工学设计 适合办公游戏 保证正品 功能正常 全新未使用 带原装包装盒和说明书 包邮发货 不退不换 【价格】¥49.00 【使用时长】约 6 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,游戏设备
1557,【论斤出】机械轴 青轴 红轴 茶轴 拆机轴 瑕疵轴 3D打印 小开关 按压开关 拆机轴，小品牌工厂料板拆出来的机械轴，有全新料板拆下的也有旧料板拆下的，混一起随机发，避免争议全部视为瑕疵轴拆机轴，可作为3d打印小开关使用 都是焊接主板或热插拔主板里拆下的轴体，可能有针脚带锡、歪脚、断脚、烫伤情况，...,【商品标题】【论斤出】机械轴 青轴 红轴 茶轴 拆机轴 瑕疵轴 3D打印 小开关 按压开关 拆机轴，小品牌工厂料板拆出来的机械轴，有全新料板拆下的也有旧料板拆下的，混一起随机发，避免争议全部视为瑕疵轴拆机轴，可作为3d打印小开关使用 都是焊接主板或热插拔主板里拆下的轴体，可能有针脚带锡、歪脚、断脚、烫伤情况，... 【价格】¥8.00 【使用时长】约 15 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,其他数码
1556,M221静音无线鼠标，9新以上，带5号电池！随机颜色(2.4 G插USB接收器即插即用，[灯泡]无蓝牙)办公学习神器。 功能完好，全国包邮，偏远地区补运费。下单后24小时发货 有意者直接拍，包邮到家！请注意这不是蓝牙鼠标！,【商品标题】M221静音无线鼠标，9新以上，带5号电池！随机颜色(2.4 G插USB接收器即插即用，[灯泡]无蓝牙)办公学习神器。 功能完好，全国包邮，偏远地区补运费。下单后24小时发货 有意者直接拍，包邮到家！请注意这不是蓝牙鼠标！ 【价格】¥20.00 【使用时长】约 7 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,数码配件
1555,全新 罗技G102鼠标二代有线办公游戏cf专用电竞lol家用 电脑办公笔记本有线宏网吧RGB压枪宏定义usb 【新客点关注加收藏送鼠标垫！】 颜色：黑色，白色，紫色，蓝色(下单需要联系备注颜色，没有联系随机发) 赠送专属驱动程序，支持宏自定义及按键编程，适配各大游戏模式和一键办公模式！(定期更新驱动版...,【商品标题】全新 罗技G102鼠标二代有线办公游戏cf专用电竞lol家用 电脑办公笔记本有线宏网吧RGB压枪宏定义usb 【新客点关注加收藏送鼠标垫！】 颜色：黑色，白色，紫色，蓝色(下单需要联系备注颜色，没有联系随机发) 赠送专属驱动程序，支持宏自定义及按键编程，适配各大游戏模式和一键办公模式！(定期更新驱动版... 【价格】¥19.00 【使用时长】约 12 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,笔记本电脑
1554,包邮，9成新罗技221无线鼠标，静音办公好选择！ 2.4G接收器连接，方便实用，适合长时间办公。 注意：外观尚可，脚垫有明显划痕，无包装，介意勿拍哦~ 罗技221鼠标有粉、蓝、白、绿四色可选，内含送电池接收器，到手即可用，使用体验感很好。 价格实惠，诚心出售，感兴趣的小伙伴快来咨...,【商品标题】包邮，9成新罗技221无线鼠标，静音办公好选择！ 2.4G接收器连接，方便实用，适合长时间办公。 注意：外观尚可，脚垫有明显划痕，无包装，介意勿拍哦~ 罗技221鼠标有粉、蓝、白、绿四色可选，内含送电池接收器，到手即可用，使用体验感很好。 价格实惠，诚心出售，感兴趣的小伙伴快来咨... 【价格】¥23.00 【使用时长】约 7 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,数码配件
1553,罗技M650/M650L静音无线鼠标 店铺转让， 三色清仓 。 全新未拆封，低价处理。 双模模式，支持多平台蓝牙连接。 双尺寸覆盖： 　**小号M650**（108mm）→ 中小手/女生专属 　**大号M650 L**（118mm）→ 大手/男神福音 超长续航，...,【商品标题】罗技M650/M650L静音无线鼠标 店铺转让， 三色清仓 。 全新未拆封，低价处理。 双模模式，支持多平台蓝牙连接。 双尺寸覆盖： 　**小号M650**（108mm）→ 中小手/女生专属 　**大号M650 L**（118mm）→ 大手/男神福音 超长续航，... 【价格】¥41.00 【使用时长】约 7 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,其他数码
1552,罗技M330舒适轻音鼠标工作室处理10个，全新未拆封海外版， 带无线接收器，10米无线范围，18个月超长续航。黑色、白色、蓝色任选，默认发黑色，办公游戏两相宜。包邮，喜欢的私聊我哦,【商品标题】罗技M330舒适轻音鼠标工作室处理10个，全新未拆封海外版， 带无线接收器，10米无线范围，18个月超长续航。黑色、白色、蓝色任选，默认发黑色，办公游戏两相宜。包邮，喜欢的私聊我哦 【价格】¥28.00 【使用时长】约 17 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,游戏设备
1551,罗技办公鼠标 M336 M337无线蓝牙鼠标 二手的，罗技官方正品，假一罚十，有蓝牙就能用，不需要接收器。成色都还可以，多种颜色，随机发货，包功能正常，全部测试好发货。包到手正常使用！包邮，当天发货！几百条好评了 黄色没货了！！！ 浅灰色没有了！！！其他颜色都有 质保29天！！！...,【商品标题】罗技办公鼠标 M336 M337无线蓝牙鼠标 二手的，罗技官方正品，假一罚十，有蓝牙就能用，不需要接收器。成色都还可以，多种颜色，随机发货，包功能正常，全部测试好发货。包到手正常使用！包邮，当天发货！几百条好评了 黄色没货了！！！ 浅灰色没有了！！！其他颜色都有 质保29天！！！... 【价格】¥17.00 【使用时长】约 12 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,其他数码
1550,全新正品罗技G502无线鼠标创世者框架外壳 无线版502用的。有线不能用。 批发为主 单只直接拍 另有脚贴滚轮数据线需要私聊,【商品标题】全新正品罗技G502无线鼠标创世者框架外壳 无线版502用的。有线不能用。 批发为主 单只直接拍 另有脚贴滚轮数据线需要私聊 【价格】¥25.00 【使用时长】约 9 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,数码配件
1549,罗技M650/M650L无线鼠标蓝牙静音大小手带USB商务办公游戏家用 ✅咸鱼官方认证经营，旗舰货源，官方保障！ ---------------------------------------- ✅关于成色: 【99新】原包装/定制包装，底部会有细微划痕，全新都会有的，仅测试划痕 【95新】原包装/定制包装...,【商品标题】罗技M650/M650L无线鼠标蓝牙静音大小手带USB商务办公游戏家用 ✅咸鱼官方认证经营，旗舰货源，官方保障！ ---------------------------------------- ✅关于成色: 【99新】原包装/定制包装，底部会有细微划痕，全新都会有的，仅测试划痕 【95新】原包装/定制包装... 【价格】¥95.00 【使用时长】约 14 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,游戏设备
1548,罗技G304 LIGHTSPEED无线游戏鼠标，白色*黑色款 ，全新未拆封美版。采用高精度追踪，6键。单节5号电池。即插即用，无需驱动，手感舒适不累。办公游戏都能用，非国行，介意勿拍，包邮售出非质量问题不退不换，无理由退货扣15元产品物流损失。 感兴趣的朋友点"我想要"和我私聊吧～,【商品标题】罗技G304 LIGHTSPEED无线游戏鼠标，白色*黑色款 ，全新未拆封美版。采用高精度追踪，6键。单节5号电池。即插即用，无需驱动，手感舒适不累。办公游戏都能用，非国行，介意勿拍，包邮售出非质量问题不退不换，无理由退货扣15元产品物流损失。 感兴趣的朋友点"我想要"和我私聊吧～ 【价格】¥26.00 【使用时长】约 15 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,游戏设备
1547,全新未拆封罗技M650蓝牙无线双模鼠标来袭！海外版本直降福利 ，无宏设计即插即用，告别繁琐驱动！白/黑/粉三色可选，颜值与实力并存～ 三大必入理由 超静音点击：深夜办公、图书馆学习，零噪音超安心！ 双模黑科技：蓝牙+2.4G接收器双连接，自动切换不断连，应对突发状况超省心！ 超长续航：一节电池轻松用半...,【商品标题】全新未拆封罗技M650蓝牙无线双模鼠标来袭！海外版本直降福利 ，无宏设计即插即用，告别繁琐驱动！白/黑/粉三色可选，颜值与实力并存～ 三大必入理由 超静音点击：深夜办公、图书馆学习，零噪音超安心！ 双模黑科技：蓝牙+2.4G接收器双连接，自动切换不断连，应对突发状况超省心！ 超长续航：一节电池轻松用半... 【价格】¥43.00 【使用时长】约 13 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,数码配件
1546,M221静音无线鼠标，95新，带包装、带5号电池！颜色有蓝、 绿、白、粉，任选。(2.4G插USB接收器即插即用，[灯泡]无蓝牙)办公学习神器。 功能完好，180天质保。全国包邮，偏远地区补运费。下单后48小时内发货。 有意者直接拍，包邮到家！请注意这不是蓝牙鼠标！,【商品标题】M221静音无线鼠标，95新，带包装、带5号电池！颜色有蓝、 绿、白、粉，任选。(2.4G插USB接收器即插即用，[灯泡]无蓝牙)办公学习神器。 功能完好，180天质保。全国包邮，偏远地区补运费。下单后48小时内发货。 有意者直接拍，包邮到家！请注意这不是蓝牙鼠标！ 【价格】¥28.00 【使用时长】约 7 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,数码配件
1545,全新HB522025EFW 华为Watch GT3 42mm/MIL-B19智能手表电池,【商品标题】全新HB522025EFW 华为Watch GT3 42mm/MIL-B19智能手表电池 【价格】¥19.00 【使用时长】约 11 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,手机
